id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,host_type,licensed_flag,reviews_per_month_clean
44452,Yonge & Bloor Studio Skyline,195095,1.462512343678917e+18,Urbano,,Rosedale-Moore Park,43.67193,-79.3859,Entire home/apt,,28.0,68,2025-10-22,0.37,13,261,1,,Professional,Unlicensed,0.37
44469,Yonge & Bloor 2 Bedroom Apartment,195095,1.462512343678917e+18,Urbano,,Rosedale-Moore Park,43.67129,-79.38634,Private room,,30.0,8,2017-08-27,0.05,13,365,0,,Professional,Unlicensed,0.05
45399,Fountain View Studio - Eaton center,195095,1.462512343678917e+18,Urbano,,Bay Street Corridor,43.66123,-79.38336,Entire home/apt,,28.0,89,2024-08-17,0.48,13,357,0,,Professional,Unlicensed,0.48
45893,Yonge & Bloor Lakeview Master BR,195095,1.462512343678917e+18,Urbano,,Rosedale-Moore Park,43.6718,-79.38488,Private room,,28.0,24,2024-08-31,0.13,13,365,0,,Professional,Unlicensed,0.13
50110,Yorkville one bedroom Condo,195095,1.462512343678917e+18,Urbano,,Church-Yonge Corridor,43.66899,-79.38559,Entire home/apt,,28.0,61,2024-08-30,0.33,13,365,0,,Professional,Unlicensed,0.33
62545,Furnished Heritage Rooms Downtown 1,304551,1.462515181382835e+18,Kintoo,,Niagara,43.64611,-79.4071,Private room,,28.0,23,2019-12-20,0.13,7,349,0,,Professional,Unlicensed,0.13
64641,Furnished Heritage Rooms Downtown 3,304551,1.462515181382835e+18,Kintoo,,Niagara,43.64453,-79.40736,Private room,,30.0,28,2025-12-23,0.15,7,365,3,,Professional,Unlicensed,0.15
64645,Furnished Downtown Suite with Private Washroom,304551,1.462515181382835e+18,Kintoo,,Niagara,43.64475,-79.40905,Private room,,30.0,18,2025-12-31,0.1,7,200,4,,Professional,Unlicensed,0.1
66856,Furnished Downtown Room,304551,1.462515181382835e+18,Kintoo,,Niagara,43.64642,-79.40736,Private room,,30.0,5,2024-10-03,0.03,7,229,0,,Professional,Unlicensed,0.03
71118,Downtown Loft Suite with Private Washroom,304551,1.462515181382835e+18,Kintoo,,Niagara,43.64605,-79.4069,Entire home/apt,,30.0,13,2023-10-23,0.07,7,173,0,,Professional,Unlicensed,0.07
84151,North City View DT Apartment,195095,1.462512343678917e+18,Urbano,,Rosedale-Moore Park,43.67138,-79.38424,Entire home/apt,,30.0,23,2024-02-02,0.13,13,365,0,,Professional,Unlicensed,0.13
96336,John & Bren's Queen West 3 bedroom townhouse,511506,1.4625203432701025e+18,Brenda,,Niagara,43.64388,-79.41011,Entire home/apt,,1.0,179,2025-09-14,1.2,1,49,13,STR-2009-FXRRPD,Casual,Licensed,1.2
112842,Gorgeous Condo near High Park!!,575127,1.462522312765601e+18,Micheline,,High Park North,43.65703,-79.46719,Entire home/apt,,120.0,12,2017-03-05,0.07,1,348,0,,Casual,Unlicensed,0.07
119441,STYLISH  LAKEVIEW / KING SIZE BED/DOWNTOWN+PARKING,174063,1.4625117557218463e+18,Denis,,South Parkdale,43.63737,-79.44022,Entire home/apt,,28.0,86,2025-10-22,0.48,2,272,1,,Professional,Unlicensed,0.48
131401,Waterfront Luxury Suite 1 Bd - Downtown,604233,1.4625232492864082e+18,Fuaad,,Niagara,43.63649,-79.40171,Entire home/apt,,150.0,11,2023-05-17,0.09,1,168,0,,Casual,Unlicensed,0.09
146601,Modern 1BR Downtown - Blue Jays Way,436139,1.462518392420818e+18,Brian,,Waterfront Communities-The Island,43.64584,-79.39051,Entire home/apt,,28.0,8,2021-09-30,0.05,1,365,0,STR-2303-FPCPHQ,Casual,Licensed,0.05
153000,"1,100SqFt. 2B+Den Rogers/Convention Centre, TIFF",735795,1.4625277805659471e+18,Khamraj,,Waterfront Communities-The Island,43.64494,-79.39123,Entire home/apt,,2.0,64,2025-11-14,0.36,1,255,11,STR-2408-JCKSBZ,Casual,Licensed,0.36
154743,Downtown Yorkville Toronto,744412,1.4625139335196639e+18,Gloria,,Church-Yonge Corridor,43.67018,-79.38372,Entire home/apt,,30.0,70,2025-07-02,0.4,1,310,2,,Casual,Unlicensed,0.4
184784,2 bd Apt at Yonge & Bloor Yorkville,656777,1.4625251551699415e+18,Pere,,Church-Yonge Corridor,43.67005,-79.38372,Entire home/apt,,150.0,64,2025-01-19,0.37,1,95,1,,Casual,Unlicensed,0.37
186342,LUXE Bayview Village 3BR /w 2-Car Garage,895337,1.4625325998475028e+18,Wayne,,Bayview Village,43.77554,-79.38989,Entire home/apt,,30.0,0,,,1,173,0,,Casual,Unlicensed,0.0
192860,modern clean quiet 2B@ High Park -40% monthly,533496,1.4625209710989486e+18,Eberhard,,Junction Area,43.66492,-79.47384,Entire home/apt,,31.0,129,2024-02-29,0.74,2,196,0,STR-2010-FPPDPC,Professional,Licensed,0.74
196584,Spacious 1 Bedroom Suite on Subway Line!,957466,1.4625342762594499e+18,Karen,,Oakridge,43.69431,-79.28563,Entire home/apt,,28.0,71,2026-01-03,0.62,1,331,10,STR-2012-HLWPHK,Casual,Licensed,0.62
224775,"Location, Location downtown Toronto /  Lower Rate",1170217,1.4625387802204175e+18,Frank,,Church-Yonge Corridor,43.6619,-79.37727,Private room,,28.0,41,2025-09-30,0.32,2,315,2,,Professional,Unlicensed,0.32
232794,Unrivaled location on Yorkville Ave/2000 sq ft,1218097,1.4625400103508938e+18,Susan,,Annex,43.6715929,-79.3908687,Entire home/apt,,28.0,8,2025-08-16,0.05,1,268,2,,Casual,Unlicensed,0.05
239449,Bright 1BR Prime Annex U of T - Subway / Bloor St,349772,1.4625163309010058e+18,Steven,,Annex,43.66701,-79.40625,Entire home/apt,,28.0,42,2025-09-30,0.27,1,290,4,,Casual,Unlicensed,0.27
288341,Beautiful Victorian Home,1368256,1.4625439236390802e+18,Robert,,North St.James Town,43.67098,-79.37434,Entire home/apt,,3.0,66,2026-01-03,0.44,1,365,9,STR-2009-GXRRPH,Casual,Licensed,0.44
307726,Boutique Chic Studio at Maple Leaf Square,1108156,1.4625159935327158e+18,Karen,,Waterfront Communities-The Island,43.6429418,-79.38055709999999,Entire home/apt,,28.0,72,2025-10-25,0.42,1,181,6,,Casual,Unlicensed,0.42
363057,Charming Century Cottage in Beaches,1816495,1.462520546210675e+18,Katharine,,The Beaches,43.67262,-79.30057,Entire home/apt,,28.0,87,2024-08-25,0.84,1,364,0,STR-2203-GGLHHF,Casual,Licensed,0.84
366973,Spacious Modern Cozy King W Toronto,1015670,1.462535855303981e+18,Grace,,Waterfront Communities-The Island,43.64226,-79.40076,Entire home/apt,,28.0,9,2017-09-12,0.06,1,358,0,,Casual,Unlicensed,0.06
393873,"Sunny, Spacious, Downtown 1 Bedroom",1870492,1.4625805092885128e+18,Katherine,,Niagara,43.64455,-79.40312,Entire home/apt,,183.0,21,2016-09-27,0.13,1,278,0,,Casual,Unlicensed,0.13
394627,Furnished Downtown Studio Suite,304551,1.462515181382835e+18,Kintoo,,University,43.66269,-79.40938,Entire home/apt,,60.0,5,2022-04-30,0.04,7,349,0,,Professional,Unlicensed,0.04
403200,Yonge & Bloor Lakview Bedroom,195095,1.462512343678917e+18,Urbano,,Rosedale-Moore Park,43.67176,-79.38555,Private room,,28.0,5,2023-06-30,0.03,13,340,0,,Professional,Unlicensed,0.03
429943,Super Studio in the Upper Beach,377846,1.4625114957302088e+18,Nick & Nena,,East End-Danforth,43.68672,-79.29328,Entire home/apt,,28.0,48,2025-11-14,0.29,18,253,1,,Professional,Unlicensed,0.29
462366,Quaint Mid-Town Toronto Guestroom,2297131,1.4625233748713697e+18,Liz,,Brookhaven-Amesbury,43.7054,-79.48584,Private room,,28.0,34,2022-10-14,0.21,1,88,0,,Casual,Unlicensed,0.21
466650,Spacious Scandinavian Style Home in King West,1039434,1.4625364893188943e+18,Juli,,Niagara,43.64286,-79.4031,Entire home/apt,,6.0,88,2025-09-09,0.54,2,172,10,STR-2402-FZZRVR,Professional,Licensed,0.54
495303,Your Home In Toronto,1241161,1.4625405749161595e+18,Danny,,Dovercourt-Wallace Emerson-Junction,43.66446,-79.42537,Entire home/apt,,29.0,115,2019-11-11,0.71,1,89,0,,Casual,Unlicensed,0.71
516823,"Monthly, Cozy + Clean Studio in the Junction",533496,1.4625209710989486e+18,Eberhard,,Junction Area,43.66672,-79.47492,Entire home/apt,,31.0,189,2025-10-24,1.14,2,119,2,,Professional,Unlicensed,1.14
526705,Modern Authentic Luxurious Loft -Queen West,1698603,1.462565439851203e+18,Kyle,,Roncesvalles,43.64264,-79.43215,Entire home/apt,,4.0,77,2025-07-20,0.47,1,349,1,STR-2011-FYPDVD,Casual,Licensed,0.47
